title,link,date,summary
EU Enlargement Forum hosted by Commissioner Kos to take place in Brussels on 18 November 2025,https://enlargement.ec.europa.eu/news/eu-enlargement-forum-hosted-commissioner-kos-take-place-brussels-18-november-2025-2025-10-03_en,3 October 2025,"The first edition of the European Commission’s EU Enlargement Forum will take place on 18 November 2025 in Brussels. The event, hosted by EU Commissioner for Enlargement Marta Kos, comes at a time when enlargement has gained renewed momentum as a driver of stability, prosperity and democratic..."
Commission restricts use of ‘forever chemicals' in firefighting foams,https://environment.ec.europa.eu/news/commission-restricts-use-pfas-firefighting-foams-2025-10-03_en,3 October 2025,The measures will protect people and the environment from the risks posed by 'forever chemicals'.
Circular economy could slash up to 231 million tonnes of CO₂ from heavy industry per year,https://joint-research-centre.ec.europa.eu/jrc-news-and-updates/circular-economy-could-slash-231-million-tonnes-co2-heavy-industry-year-2025-10-03_en,3 October 2025,Steel and plastics sectors lead in emission savings potential.
Officials from the EU and China address drugs and drug precursors,https://home-affairs.ec.europa.eu/news/officials-eu-and-china-address-drugs-and-drug-precursors-2025-10-03_en,3 October 2025,"On 25 September, the Commission Director for Internal Security and Counter-Terrorism Coordinator, attended the 4th EU–China Dialogue on Drugs in Beijing, following a meeting on drug precursors. The dialogues offered the opportunity for the first meeting with the Chinese Ministry of Public Security."
Commission consults on revised State aid rules for better access to affordable housing,https://competition-policy.ec.europa.eu/about/news/commission-consults-revised-state-aid-rules-better-access-affordable-housing-2025-10-03_en,3 October 2025,"The European Commission has today launched a public consultation on the revision of the State aid
rules to help Member States with affordable housing. This revision of the services of general economic
interest (‘SGEI') rules will address challenges related to housing affordability."
EU welcomes UN aviation agency’s condemnation of Russia for undermining global aviation safety,https://transport.ec.europa.eu/news-events/news/eu-welcomes-un-aviation-agencys-condemnation-russia-undermining-global-aviation-safety-2025-10-03_en,3 October 2025,The ICAO has formally condemned Russia for repeatedly interfering with Global Navigation Satellite System (GNSS) signals in Europe.
The EU is mobilising emergency support to Democratic Republic of the Congo in response to the ongoing Ebola outbreak,https://civil-protection-humanitarian-aid.ec.europa.eu/news-stories/news/eu-mobilising-emergency-support-democratic-republic-congo-response-ongoing-ebola-outbreak-2025-10-03_en,3 October 2025,"The EU is supporting the emergency response to the outbreak of Ebola virus in the Democratic Republic of the Congo, officially declared on the 4 September 2025 by the Congolese ministry of health."
New platform to enhance transparency in mineral supply chains,https://policy.trade.ec.europa.eu/news/new-platform-enhance-transparency-mineral-supply-chains-2025-10-02_en,2 October 2025,"Yesterday, DG TRADE launched a new platform aimed at boosting transparency in mineral supply chains."
Commission's assessment of Estonia and Slovakia National Energy and Climate Plans shows improvements on ambition closing in  on 2030 targets but more efforts needed,https://energy.ec.europa.eu/news/commissions-assessment-estonia-and-slovakia-national-energy-and-climate-plans-shows-improvements-2025-10-02_en,2 October 2025,The Commission assessment of the 2 NECPs includes guidance to facilitate implementation.
EU and Türkiye hold High-Level Dialogue on Climate,https://climate.ec.europa.eu/news-other-reads/news/eu-and-turkiye-hold-high-level-dialogue-climate-2025-10-02_en,2 October 2025,"EU and Türkiye held their 3rd High-Level Dialogue on Climate in Brussels, focusing on cooperation after Türkiye’s first Climate Law. Both sides reaffirmed Paris Agreement commitments, discussed COP30, NDCs, carbon pricing, CBAM, adaptation, and explored new areas like just transition."
Women in rail award 2025: winners announced,https://transport.ec.europa.eu/news-events/news/women-rail-award-2025-winners-announced-2025-10-02_en,2 October 2025,"The 2025 edition of the women in rail award was held in Kraków, Poland, as part of the European rail safety days."
Commission proposes a targeted amendment of EU rules on road tolls and user charges to clarify and simplify certain provisions,https://transport.ec.europa.eu/news-events/news/commission-proposes-targeted-amendment-eu-rules-road-tolls-and-user-charges-clarify-and-simplify-2025-10-02_en,2 October 2025,"The Commission presented an amended proposal to make certain provisions of the eurovignette directive clearer, simpler and more precise."
Commissioner Roswall hosts high-level stakeholder roundtable on simplification of environmental laws,https://environment.ec.europa.eu/news/commissioner-roswall-hosts-high-level-talks-simplifying-laws-2025-10-02_en,2 October 2025,The roundtable will discuss the results of a Call for Evidence on an environmental simplification package that closed in September.
Winners of 2027 European Green Cities Awards announced in Vilnius,https://environment.ec.europa.eu/news/2027-european-green-cities-winners-announced-2025-10-02_en,2 October 2025,"Heilbronn, Germany, won the European Green Capital award, and the European Green Leaf prize went to Assen in the Netherlands and Siena, Italy."
Ocean acidification: Seventh planetary boundary now crossed,https://environment.ec.europa.eu/news/ocean-acidification-seventh-planetary-boundary-now-crossed-2025-10-02_en,2 October 2025,A new report reveals how seven out of nine critical planetary boundaries that keep life on Earth stable and healthy have been crossed.
Training tomorrow’s heroes: EU support strengthens emergency readiness in Latvia,https://home-affairs.ec.europa.eu/news/training-tomorrows-heroes-eu-support-strengthens-emergency-readiness-latvia-2025-10-02_en,2 October 2025,"The EU-funded project the Chemical, Biological, Radiological, Nuclear, and Explosive (CBRNE) and man-made disaster training in Latvia helps to train future firefighters and emergency responders to respond to emergencies faster and smarter."
Second Edition of “The Hub. Insights”,https://home-affairs.ec.europa.eu/news/second-edition-hub-insights-2025-10-02_en,2 October 2025,"This edition is dedicated to exploring the multifaceted nature of antisemitism, examining its manifestations in different spheres of life, both offline and online."
"EU progress on cycling – greener, healthier, more inclusive mobility",https://transport.ec.europa.eu/news-events/news/eu-progress-cycling-greener-healthier-more-inclusive-mobility-2025-10-01_en,1 October 2025,"The Commission adopted its first progress report on the European declaration on cycling, showing strong momentum across the EU to boost cycling infrastructure and policies. The report confirms cycling’s role as a clean, affordable and health-boosting way to travel."
Commission leads efforts to tackle Baltic Sea fisheries and environmental challenges,https://oceans-and-fisheries.ec.europa.eu/news/commission-leads-efforts-tackle-baltic-sea-fisheries-and-environmental-challenges-2025-10-01_en,1 October 2025,"Yesterday, Commissioners Costas Kadis and Jessika Roswall hosted the third edition of the ‘Our Baltic Conference’. Gathering Agriculture, Environment, and Fisheries ministers from the EU Baltic countries, along with European Parliament representatives and regional stakeholders,"
"Euronews OCEAN Season 7, Episode 9 - EU Tuna recovery",https://oceans-and-fisheries.ec.europa.eu/news/euronews-ocean-season-7-episode-9-eu-tuna-recovery-2025-10-01_en,1 October 2025,"Once a symbol of overfishing, bluefin tuna is now regarded as one of the Mediterranean’s greatest recovery stories."
New call for proposals: mobile application for professional lorry drivers to rate points of interest,https://transport.ec.europa.eu/news-events/news/new-call-proposals-mobile-application-professional-lorry-drivers-rate-points-interest-2025-10-01_en,1 October 2025,"The Commission calls for proposals to develop a mobile application where professional lorry drivers can rate their main points of interest on the road, from rest and parking facilities to areas for loading and unloading their cargo."
"At the UN General Assembly, the EU reinforces its support to global health and human rights",https://international-partnerships.ec.europa.eu/news-and-events/news/un-general-assembly-eu-reinforces-its-support-global-health-and-human-rights-2025-10-01_en,1 October 2025,"From 20-25 September, Commissioner Jozef Síkela was in New-York to attend the 80th session of the United Nations General Assembly (UNGA). On this occasion he had several high-level meetings to advance the EU unique offer to deliver on SDGs with the Global Gateway strategy."
EU electricity trading in the day-ahead markets becomes more dynamic,https://energy.ec.europa.eu/news/eu-electricity-trading-day-ahead-markets-becomes-more-dynamic-2025-10-01_en,1 October 2025,"On 30 September 2025, the EU’s day-ahead electricity market moved from hourly to 15-minute trading intervals."
European Union detains 112 million counterfeit items worth €3.8 billion in 2024,https://taxation-customs.ec.europa.eu/news/european-union-detains-112-million-counterfeit-items-worth-eu38-billion-2024-2025-10-01_en,1 October 2025,"In 2024, EU authorities in the internal market and at the EU border intercepted 112 million counterfeit goods with an estimated retail value of €3.8 billion"
"Munich, Paris and Madrid regions among EU strategic areas for digital R&I",https://joint-research-centre.ec.europa.eu/jrc-news-and-updates/munich-paris-and-madrid-regions-among-eu-strategic-areas-digital-ri-2025-10-01_en,1 October 2025,A new JRC study provides a regional-level analysis of R&I and startups in EU’s digital ecosystem.
Results of 01-10-2025 auction (EU-Bills),/news-and-media/news/results-01-10-2025-auction-eu-bills-2025-10-01_en,1 October 2025,Auction results EU-Bills.
Click wisely: promoting online safety during European Cybersecurity Month,/news-and-media/news/click-wisely-promoting-online-safety-during-european-cybersecurity-month-2025-10-01_en,1 October 2025,Learn about the EU campaign to promote cybersecurity in the Europe and about what the EU is doing to better prepare us for and respond to cybersecurity threats
Commissioner Šuica travels to Tunisia to reinforce cooperation and discuss the Pact for the Mediterranean,https://north-africa-middle-east-gulf.ec.europa.eu/news/commissioner-suica-travels-tunisia-reinforce-cooperation-and-discuss-pact-mediterranean-2025-10-01_en,1 October 2025,"Today and tomorrow, the Commissioner for the Mediterranean, Dubravka Šuica, is in Tunis, to discuss progress under the Strategic and Comprehensive Partnership signed two years ago between the EU and Tunisia."
Commission welcomes agreement to boost Europol's role in the fight against migrant smuggling and trafficking in human beings,https://home-affairs.ec.europa.eu/news/commission-welcomes-agreement-boost-europols-role-fight-against-migrant-smuggling-and-trafficking-2025-09-30_en,30 September 2025,"The Commission welcomes the provisional political agreement reached between the European Parliament and the Council on 25 September, to strengthen Europol's role against migrant smuggling and trafficking in human beings, based on a regulation proposed by the Commission in November 2023."
Commissioner Brunner meets Expert Group on Migrants' Views to advance EU migration policies,https://home-affairs.ec.europa.eu/news/commissioner-brunner-meets-expert-group-migrants-views-advance-eu-migration-policies-2025-09-30_en,30 September 2025,"On 30 September, Commissioner Brunner convened the 14th meeting of the Commission Expert Group on the views of migrants, providing important insights on the implementation of the Pact on Migration and Asylum and the protection of migrant workers' rights in the EU."
EU to boost financial literacy and investment opportunities for citizens,https://finance.ec.europa.eu/publications/eu-boost-financial-literacy-and-investment-opportunities-citizens_en,30 September 2025,"Today’s financial literacy strategy aims to help citizens make sound financial decisions, ultimately improving their well‑being, financial security and independence."
Commission carries out unannounced antitrust inspections in the vaccines sector,https://competition-policy.ec.europa.eu/about/news/commission-carries-out-unannounced-antitrust-inspections-vaccines-sector-2025-09-30_en,30 September 2025,The Commission has concerns that the inspected company may have violated EU antitrust rules that prohibit abuses of a dominant market position (Article 102 of the Treaty on the Functioning of the European Union).
Market Readiness Survey: IT service providers are invited to share their views for new EU Customs Data Hub,https://taxation-customs.ec.europa.eu/news/market-readiness-survey-it-service-providers-are-invited-share-their-views-new-eu-customs-data-hub-2025-09-30_en,30 September 2025,"The European Commission is seeking input from market operators to assess readiness for the delivery of a large-scale, secure, multi-cloud turnkey system that will underpin the EU Customs Data Hub."
Ukraine successfully completes its screening process,https://enlargement.ec.europa.eu/news/ukraine-successfully-completes-its-screening-process-2025-09-30_en,30 September 2025,"Today, Ukraine has reached an important milestone on its EU accession path with the completion of the bilateral screening with the European Commission. The bilateral screening began in July 2024"
Republic of Moldova: Statement by the High Representative on behalf of the EU on the parliamentary elections,https://enlargement.ec.europa.eu/news/republic-moldova-statement-high-representative-behalf-eu-parliamentary-elections-2025-09-30_en,30 September 2025,"On Sunday, 28 September, the citizens of the Republic of Moldova exercised their democratic right to vote in the parliamentary elections. The election results confirm the people’s enduring support for the European future of the Republic of Moldova, as enshrined in its Constitution."
Decision Adopted on the Appointment of New Members of the VAT Expert Group,https://taxation-customs.ec.europa.eu/news/decision-adopted-appointment-new-members-vat-expert-group-2025-09-30_en,30 September 2025,"On 29 September 2025, the Director-General for Taxation and Customs Union appointed the new members of the VAT Expert Group (VEG)."
Making Europe’s savings work: Better investment opportunities for European citizens to strengthen the European economy,https://taxation-customs.ec.europa.eu/news/making-europes-savings-work-better-investment-opportunities-european-citizens-strengthen-european-2025-09-30_en,30 September 2025,The European Commission announced a major initiative to advance the Savings and Investments Union and deliver tangible benefits for all citizens across the EU.
"Every Part of the Ocean Now Affected by Triple Planetary Crisis, Reveals Ninth Copernicus Ocean State Report",https://defence-industry-space.ec.europa.eu/every-part-ocean-now-affected-triple-planetary-crisis-reveals-ninth-copernicus-ocean-state-report-2025-09-30_en,30 September 2025,"The European Commission welcomes the publication of the ninth edition of the Copernicus Ocean State Report, published by the Copernicus Marine Service of the EU Space Programme."
EU to boost financial literacy and investment opportunities for citizens,/news-and-media/news/eu-boost-financial-literacy-and-investment-opportunities-citizens-2025-09-30_en,30 September 2025,The Commission is advancing the savings and investments union to deliver tangible benefits for all EU citizens. Two new proposals focus on improving financial literacy at all stages of life and introducing a blueprint for an easy and accessible investment tool.
Eurostat: Solar - main source of EU electricity in June with 22%,https://ec.europa.eu/eurostat/en/web/products-eurostat-news/w/ddn-20250929-3,29 September 2025,"In the second quarter of 2025, 54.0% of net electricity generated in the EU came from renewable energy sources, an increase from the 52.7% registered in the same quarter of 2024."
"Stronger research and innovation cooperation between Europe, Latin America and the Caribbean",https://research-and-innovation.ec.europa.eu/news/all-research-and-innovation-news/stronger-research-and-innovation-cooperation-between-europe-latin-america-and-caribbean-2025-09-29_en,29 September 2025,"Research and innovation news alert: Representatives from the EU and CELAC adopted a Ministerial Declaration and a New Agenda for Cooperation in Research and Innovation. The agreements set out shared priorities, concrete actions, and governance to guide bi-regional cooperation in the years ahead."
The Commission and EUROCONTROL launch new IT tool to track non-CO₂ aviation effects on climate,https://climate.ec.europa.eu/news-other-reads/news/commission-and-eurocontrol-launch-new-it-tool-track-non-co2-aviation-effects-climate-2025-09-29_en,29 September 2025,"The European Commission and EUROCONTROL have launched NEATS - the Non-CO₂ Aviation Effects Tracking System - a new IT tool for monitoring, reporting, and verifying (MRV) the non-CO₂ climate impacts of aviation."
Commissioner Jørgensen sets direction for European Affordable Housing Plan,https://housing.ec.europa.eu/news/commissioner-jorgensen-sets-direction-european-affordable-housing-plan-2025-09-29_en,29 September 2025,"During his keynote speech at a High-Level Conference in Copenhagen, Denmark, Housing Commissioner Dan Jørgensen presented his vision on affordable, sustainable and decent quality housing for all."
Commissioner Kos in Ukraine to meet Ukrainian authorities and discuss Ukraine's progress in the EU accession process,https://enlargement.ec.europa.eu/news/commissioner-kos-ukraine-meet-ukrainian-authorities-and-discuss-ukraines-progress-eu-accession-2025-09-29_en,29 September 2025,"From today until Wednesday, Commissioner for Enlargement Marta Kos is in Ukraine to reaffirm the EU's steadfast commitment to the country's European future and to mark the conclusion of the EU accession screening process, underscoring Ukraine's progress toward EU membership."
"EU Urban Mobility Days to take place in Vilnius: three days of sharing innovation ideas, best practices, and sustainable mobility solutions",https://transport.ec.europa.eu/news-events/news/eu-urban-mobility-days-take-place-vilnius-three-days-sharing-innovation-ideas-best-practices-and-2025-09-29_en,29 September 2025,"From 30 September to 2 October, EU Urban Mobility Days will take place in Vilnius."
Applications Open for the EU Customs Certificate of Recognition – Deadline Extended to December 31!,https://taxation-customs.ec.europa.eu/news/applications-open-eu-customs-certificate-recognition-deadline-extended-december-31-2025-09-29_en,29 September 2025,Higher education institutions and customs training programs are invited to submit their applications for the EU Customs Certificate of Recognition
European Commission announces €545 million package to scale up renewables in Africa,https://ec.europa.eu/commission/presscorner/detail/en/ip_25_2193,27 September 2025,European Commission President Ursula von der Leyen unveiled today a €545 million Team Europe package to accelerate Africa's clean energy transition.
"Commission hosts forum on savings and investments union in European Central, Eastern, and Southern-Eastern European countries",https://finance.ec.europa.eu/news/commission-hosts-forum-savings-and-investments-union-european-central-eastern-and-southern-eastern-2025-09-26_en,26 September 2025,"On Monday 29 September 2025, the European Commission will host the ‘Vienna Initiative Full Forum’ 2025 in Brussels."
Announcement of next auction (EU-Bills) on 01-10-2025,/news-and-media/news/announcement-next-auction-eu-bills-01-10-2025-2025-09-26_en,26 September 2025,Auction announcement EU-Bills.
European Day of Languages – open your heart and mind!,/news-and-media/news/european-day-languages-open-your-heart-and-mind-2025-09-26_en,26 September 2025,Join in the fun on Friday 26 September when the EU celebrates the richness of its languages and cultures through the European Day of Languages.
Commission acts against unfairly traded imports of flat hot-rolled steel products,https://policy.trade.ec.europa.eu/news/commission-acts-against-unfairly-traded-imports-flat-hot-rolled-steel-products-2025-09-26_en,26 September 2025,"Today the Commission imposed anti-dumping measures on imports into the EU of certain hot-rolled flat products of iron, non-alloy or other-alloy steel originating in Egypt, Japan and Vietnam."
EU strengthens support for preventing violent extremism and terrorism,https://fpi.ec.europa.eu/news/eu-strengthens-support-preventing-violent-extremism-and-terrorism-2025-09-26_en,26 September 2025,"Violent extremism and terrorism are growing phenomena throughout the world. This is why the European Union (EU) remains a strong partner of the Global Community Engagement and Resilience Fund (GCERF), the world’s only fund dedicated to preventing violent extremism."
When pawprint meets footprint 🐾,https://environment.ec.europa.eu/news/when-pawprint-meets-footprint-2025-09-26_en,26 September 2025,"The first animal care product has been awarded the EU Ecolabel. Developed by Catalan manufacturer PROQUIMIA, the certified shampoo is a major step toward sustainable pet hygiene. Discover PROQUIMIA’s story and apply for the label to help ‘paw’ the way in sustainable pet care!"
Delivery of a multipurpose plane to the Beninese Armed Forces,https://fpi.ec.europa.eu/news/delivery-multipurpose-plane-beninese-armed-forces-2025-09-26_en,26 September 2025,"The Beninese Armed Forces (FAB) have received a multipurpose aircraft to bolster its national security efforts, from the European Union (EU), financed under the European Peace Facility (EPF)."
Baltic Sea recovery: bridging science and policy in Lithuania,https://oceans-and-fisheries.ec.europa.eu/news/baltic-sea-recovery-bridging-science-and-policy-lithuania-2025-09-25_en,25 September 2025,"On 18 September 2025, and as part of the Annual Science Conference 2025, the International Council for the Exploration of the Sea (ICES) and the European Commission’s Directorate-General for Maritime Affairs and Fisheries (DG MARE) co-hosted the side event “For and from the Baltic:"
EMN inform examines international protection accommodation centres and local engagement,https://home-affairs.ec.europa.eu/news/emn-inform-examines-international-protection-accommodation-centres-and-local-engagement-2025-09-25_en,25 September 2025,"From international protection accommodation to community engagement, learn about the challenges and practices shared by EMN Member Countries and Serbia in the new EMN inform."
Specialised prosecutors met at Eurojust to combat human trafficking,https://home-affairs.ec.europa.eu/news/specialised-prosecutors-met-eurojust-combat-human-trafficking-2025-09-25_en,25 September 2025,The meeting focused on the latest developments in this area and on how to reinforce judicial cooperation and improve prosecution for trafficking in human beings.
Commissioner Jørgensen in Greenland to deepen cooperation with the EU,https://energy.ec.europa.eu/news/commissioner-jorgensen-greenland-deepen-cooperation-eu-2025-09-25_en,25 September 2025,Commissioner for Energy and Housing Dan Jørgensen is in Greenland to reinforce the EU’s mutually beneficial partnership with the country.
Commission opens investigation into possible anticompetitive practices by SAP regarding maintenance and support services for its popular business management software,https://competition-policy.ec.europa.eu/about/news/commission-opens-investigation-possible-anticompetitive-practices-sap-regarding-maintenance-and-2025-09-25_en,25 September 2025,"The European Commission has opened a formal investigation to assess whether SAP may have distorted competition in the aftermarket for maintenance and support services related to an on-premises type of software, licensed by SAP, used for the management of companies' business operations"
EU and Ukraine extend road transport agreement until 31 March 2027,https://transport.ec.europa.eu/news-events/news/eu-and-ukraine-extend-road-transport-agreement-until-31-march-2027-2025-09-25_en,25 September 2025,The EU and Ukraine decided today to extend the validity of their current road transport agreement.
EU and ICAO mark milestone in sustainable aviation fuels project,https://transport.ec.europa.eu/news-events/news/eu-and-icao-mark-milestone-sustainable-aviation-fuels-project-2025-09-25_en,25 September 2025,"A special ceremony was held during the 42nd ICAO Assembly, to mark the completion of three EU funded studies under the International Civil Aviation Organization’s capacity building and training programme for sustainable aviation fuels (ACT-SAF)."
How to shine during a group interview,https://eures.europa.eu/how-shine-during-group-interview-2025-09-25_en,25 September 2025,Have you been called in for an interview? Great news! But what if you discover that you will be attending… a group interview? We’ve got you covered.
All-Atlantic Forum 2025 launches two major initiatives for coastal resilience and scientific collaboration,https://research-and-innovation.ec.europa.eu/news/all-research-and-innovation-news/all-atlantic-forum-2025-launches-two-major-initiatives-coastal-resilience-and-scientific-2025-09-25_en,25 September 2025,Commission hosts in Brussels this annual event fostering collaboration and uniting scientists from around the Atlantic Ocean
India and EU Launch Ideathon on Marine Plastic Litter under Trade and Technology Council Working Group 2,https://research-and-innovation.ec.europa.eu/news/all-research-and-innovation-news/india-and-eu-launch-ideathon-marine-plastic-litter-under-trade-and-technology-council-working-group-2025-09-25_en,25 September 2025,"The EU- India Ideathon invites applications from start-ups, researchers, businesses and other stakeholders in India and the European Union to co-develop practical and innovative solutions to address marine plastic litter."
Rising trend of new childhood cancer cases in EU over time,https://joint-research-centre.ec.europa.eu/jrc-news-and-updates/rising-trend-new-childhood-cancer-cases-eu-over-time-2025-09-25_en,25 September 2025,"The most common cancers among young children are leukaemias, central nervous system tumours and neuroblastomas."
Commission launches second call for strategic projects to secure critical raw materials supply,https://single-market-economy.ec.europa.eu/news/commission-launches-second-call-strategic-projects-secure-critical-raw-materials-supply-2025-09-25_en,25 September 2025,"Executive Vice-President for Prosperity and Industrial Strategy, Stéphane Séjourné today announced the launch of the second call for strategic projects to ensure a secure and sustainable supply of critical raw materials for European industry."
VAT in the Digital Age: implementation strategy to support businesses and Member States,https://taxation-customs.ec.europa.eu/news/vat-digital-age-implementation-strategy-support-businesses-and-member-states-2025-09-24_en,24 September 2025,"The European Commission published its implementation strategy for the VAT in the Digital Age (ViDA) package, presenting actions to support businesses and Member States with the practical implementation of the EU’s VAT framework updates."
Better protection of surface and groundwater to strengthen EU water resilience,https://ec.europa.eu/commission/presscorner/detail/en/ip_25_2197,24 September 2025,The Commission has welcomed a provisional political agreement reached between the Council and Parliament on a proposal to update the lists of water pollutants.
The Road to Green 20: How do we combine urban development and quality of life?,https://environment.ec.europa.eu/news/video-how-do-we-combine-urban-development-quality-life-2025-09-24_en,24 September 2025,"In this latest 'The Road to Green' episode, Euronews explores how European cities are innovating with solutions to tackle environmental challenges."
EU provides additional €50 million in emergency humanitarian aid to Palestine,https://civil-protection-humanitarian-aid.ec.europa.eu/news-stories/news/eu-provides-additional-eu50-million-emergency-humanitarian-aid-palestine-2025-09-24_en,24 September 2025,The EU's additional funding will help its humanitarian partners on the ground deliver life-saving assistance both in Gaza and the West Bank.
EU increases aid to Yemen amid escalating humanitarian crisis,https://civil-protection-humanitarian-aid.ec.europa.eu/news-stories/news/eu-increases-aid-yemen-amid-escalating-humanitarian-crisis-2025-09-24_en,24 September 2025,"The European Commission is releasing an additional €40 million* in humanitarian aid to confront Yemen's rapidly worsening crisis and help stave off famine. This brings total EU humanitarian support for Yemen to €120 million in 2025, and to almost €1 billion since 2015."
EU and Ecuador signed an international agreement to fight serious crime,https://home-affairs.ec.europa.eu/news/eu-and-ecuador-signed-international-agreement-fight-serious-crime-2025-09-24_en,24 September 2025,"The agreement enables Europol and Ecuador to enhance the exchange of information, including personal data. The agreement guarantees a high level of protection of fundamental rights, including through strong data protection safeguards."
Commission launches information campaign to inform travellers about the Entry/Exit System,https://home-affairs.ec.europa.eu/news/commission-launches-information-campaign-inform-travellers-about-entryexit-system-2025-09-24_en,24 September 2025,"The Entry/Exit System (EES) is set to enter into operation on 12 October 2025, modernising the border check procedures for non-EU nationals travelling for short stays to Europe. The information campaign will run in parallel with the launch of the EES and continue for about a year."
New EU rules on REMIT fees,https://energy.ec.europa.eu/news/new-eu-rules-remit-fees-2025-09-24_en,24 September 2025,"The Commission revised the rules on financing of the European Union Agency for the Cooperation of Energy Regulators (ACER), warranting greater fairness and transparency."
Publication first results call for commitments Transition pathway,https://defence-industry-space.ec.europa.eu/publication-first-results-call-commitments-transition-pathway-2025-09-24_en,24 September 2025,"Today, the European Commission published first results following the  call for commitments launched on the transition pathway for the aerospace ecosystem."
From OLAF’s investigation to EPPO conviction: Joint Efforts Deliver Results in Croatia,https://anti-fraud.ec.europa.eu/media-corner/news/olafs-investigation-eppo-conviction-joint-efforts-deliver-results-croatia-2025-09-24_en,24 September 2025,One of the European Anti-Fraud Office’s first complementary investigations conducted in close cooperation with the European Public Prosecutor’s Office has resulted in a second conviction.
Libya adopts first national plan on CBRN safety with EU support,https://fpi.ec.europa.eu/news/libya-adopts-first-national-plan-cbrn-safety-eu-support-2025-09-24_en,24 September 2025,"Libya has taken an important step to strengthen its protection against chemical, biological, radiological and nuclear (CBRN) risks by approving its first-ever National Action Plan (NAP)."
EU agri-food trade remains robust despite increasing prices,https://agriculture.ec.europa.eu/media/news/eu-agri-food-trade-remains-robust-despite-increasing-prices-2025-09-24_en,24 September 2025,"EU agri-food trade remained strong in June 2025. Exports held steady above 2024 levels, while imports increased due to high commodity prices. Cocoa, coffee and chocolate drove export growth, but cereals declined. The trade surplus rebounded in June, yet stayed one-third below last year overall."
Solidarity Lanes: Latest figures – August 2025,https://transport.ec.europa.eu/news-events/news/solidarity-lanes-latest-figures-august-2025-2025-09-24_en,24 September 2025,Latest figures on Ukrainian exports and imports via the EU-Ukraine Solidarity Lanes: new transport routes established in the face of Russia’s war of aggression against Ukraine.
Reducing cost of high-speed rail constructions,https://transport.ec.europa.eu/news-events/news/reducing-cost-high-speed-rail-constructions-2025-09-24_en,24 September 2025,How can we reduce high-speed rail constructions costs along the nine corridors on the trans-European transport network?
The Commission seeks stakeholders’ feedback to the European Innovation Act through a dedicated call for evidence and public consultation,https://research-and-innovation.ec.europa.eu/news/all-research-and-innovation-news/commission-seeks-stakeholders-feedback-european-innovation-act-through-dedicated-call-evidence-and-2025-09-24_en,24 September 2025,The Commission seeks stakeholders’ feedback to the European Innovation Act through a dedicated call for evidence and public consultation.
Commission finds fraud and potential safety issues in cinnamon on the EU market,https://joint-research-centre.ec.europa.eu/jrc-news-and-updates/commission-finds-fraud-and-potential-safety-issues-cinnamon-eu-market-2025-09-24_en,24 September 2025,A new JRC study reveals cases of fraud and non-compliance with the food safety legislation in cinnamon sold at EU retailers.
Commission seeks views on future of European Standardisation,https://single-market-economy.ec.europa.eu/news/commission-seeks-views-future-european-standardisation-2025-09-24_en,24 September 2025,The Commission has launched a public consultation seeking views from the public and experts on the upcoming revision of EU Standardisation Regulation.
Commission welcomes political agreement to simplify and strengthen EU innovation and investment,https://single-market-economy.ec.europa.eu/news/commission-welcomes-political-agreement-simplify-and-strengthen-eu-innovation-and-investment-2025-09-24_en,24 September 2025,"The European Commission welcomes yesterday's political agreement between the European Parliament and the Council on the ‘Omnibus' package to simplify EU investment programmes. Proposed by the Commission in February 2025, the package strengthens InvestEU, the EU's flagship investment instrument."
Seven facts to help understand migration,https://home-affairs.ec.europa.eu/news/seven-facts-help-understand-migration-2025-09-23_en,23 September 2025,"Public debate about migration is often driven by sensationalist news and emotional, polarising statements. It can be difficult to keep track and distinguish between opinions, facts and willful manipulation. The following facts could contribute to a more balanced debate on migration."
€76.3 million to support works and studies for cross-border renewable energy projects,https://cinea.ec.europa.eu/news-events/news/cef-energy-eur-763-million-support-works-and-studies-cross-border-renewable-energy-projects-2025-09-23_en,23 September 2025,"Following the 2024 call for works and studies for cross-border renewable energy (CB RES) projects under CEF Energy, the European Commission adopted an award decision selecting three projects to receive a total of EUR 76.3 million in EU funding."
80th UN General Assembly: EU renews commitment to multilateralism,/news-and-media/news/80th-un-general-assembly-eu-renews-commitment-multilateralism-2025-09-23_en,23 September 2025,"From 21 to 25 September 2025, a high-level delegation of the EU is participating in the 80th United Nations General Assembly (UNGA)."
EU ETS – Publication of surrender and compliance data,https://climate.ec.europa.eu/news-other-reads/news/eu-ets-publication-surrender-and-compliance-data-2025-09-23_en,23 September 2025,"The Commission will publish the available surrender and compliance data 2024 on October 6, 2025, at the latest."
Winners announced at fourth EU Organic Awards,https://agriculture.ec.europa.eu/media/news/winners-announced-fourth-eu-organic-awards-2025-09-23_en,23 September 2025,"This year’s EU Organic Awards winners is a list of innovative, sustainable projects across Europe’s organic value chain. Their work proves how organic farming can add value, create rural jobs, and build resilient food systems."
EU and Indonesia conclude negotiations on free trade agreement,https://ec.europa.eu/commission/presscorner/detail/en/ip_25_2168,23 September 2025,Today the EU and Indonesia finalised negotiations for a Comprehensive Economic Partnership Agreement (CEPA) and an Investment Protection Agreement (IPA).
Commission acts against unfairly traded glyoxylic acid from China,https://policy.trade.ec.europa.eu/news/commission-acts-against-unfairly-traded-glyoxylic-acid-china-2025-09-23_en,23 September 2025,Today the Commission imposed anti-dumping measures on imports of glyoxylic acid from China.
